Date,Equity,Cash,RunningMax,DrawdownPct,CD_5Pct,S&P500_SPY,EqualWeight_RSP,Balanced_60_40
2016-03-14,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
2016-03-15,99404.02762819339,525.9767034154047,100000.0,-0.5959723718066079,100019.3630506544,99837.08686708905,99431.18490109309,99865.72271500986
2016-03-16,99831.04484802295,646.0267034154047,100000.0,-0.16895515197704603,100038.72985058611,100414.83992477758,100374.94257891606,100384.14308627485
2016-03-17,100743.8137651067,646.0267034154047,100743.8137651067,0.0,100058.10040052107,101051.89393185033,101305.81595345656,100850.30789984157
2016-03-18,101402.23639970829,646.0267034154047,101402.23639970829,0.0,100077.47470118546,102058.378248603,102389.40013030083,101485.98493937982
2016-03-21,101229.29054504444,646.0267034154047,101402.23639970829,-0.1705542804619542,100096.85275330552,102203.19222103036,102415.5357121781,101483.95216022714
2016-03-22,101225.06443601658,646.0267034154047,101402.23639970829,-0.17472194892559356,100116.23455760759,102148.27542832427,102337.10544217016,101425.37196896561
2016-03-23,100439.82331043293,646.0267034154047,101402.23639970829,-0.9491044018809514,100135.62011481824,101474.15838170271,101291.23520393293,101112.39463203192
2016-03-24,99988.09375196506,646.0267034154047,101402.23639970829,-1.39458723786815,100155.00942566418,101429.1963756875,101173.5309879807,101089.17419072425
2016-03-28,99982.580405293,646.0267034154047,101402.23639970829,-1.4000243434664217,100174.40249087218,101489.10397789357,101317.3707858102,101154.39173533791
2016-03-29,100872.13433863093,840.4364788668289,101402.23639970829,-0.522771567865421,100193.79931116923,102427.89492186988,102350.18499529686,101836.96927661488
2016-03-30,101401.5386774676,840.4364788668289,101402.23639970829,-0.0006880738191328284,100213.1998872824,102877.32715585805,102663.94136189281,102090.33348701295
2016-03-31,100993.99503481318,854.2964788668289,101402.23639970829,-0.4025960170009446,100232.60421993898,102627.67040751854,102663.94136189281,102071.06469880223
2016-04-01,102054.66739046504,854.2964788668289,102054.66739046504,0.0,100252.01230986632,103326.75044574315,103069.20755162339,102559.94473222242
2016-04-04,101279.36764566829,889.0964788668289,102054.66739046504,-0.7596906291707617,100271.42415779192,102992.19627128541,102402.45615905139,102401.52411943486
2016-04-05,99924.76802961757,889.0964788668289,102054.66739046504,-2.087018080905989,100290.83976444349,101963.52603579393,101251.9965445528,101843.39929149068
2016-04-06,101282.99776388575,943.6864788668289,102054.66739046504,-0.7561335961508209,100310.25913054879,103077.05792099147,102324.01412685537,102503.36848936284
2016-04-07,99984.78174616267,992.6864788668289,102054.66739046504,-2.0282126209700047,100329.68225683579,101843.6750549696,101042.86484078238,101856.34027887697
2016-04-08,100553.22544790675,992.6864788668289,102054.66739046504,-1.4712134005725686,100349.10914403258,102118.31268311825,101487.357927705,101980.74336999643
2016-04-11,100698.1374719689,1168.8492935249915,102054.66739046504,-1.3292188913869074,100368.53979286738,101878.61966557265,101369.70076050505,101866.55711323535
2016-04-12,101775.75838892104,1056.8573841297748,102054.66739046504,-0.2732937245063849,100387.97420406855,102827.41906085808,102467.8186381207,102369.66892444315
2016-04-13,103274.98128072859,1056.8573841297748,103274.98128072859,0.0,100407.4123783646,103866.04408304041,103762.10628826072,103008.56466803866
2016-04-14,103286.59641210677,1056.8573841297748,103286.59641210677,0.0,100426.8543164842,103871.05278074651,103552.90401136193,102940.91305845525
2016-04-15,103244.80081139876,1212.6576076634055,103286.59641210677,-0.04046565784900924,100446.30001915612,103756.20155352523,103526.80371604886,102987.96805298259
